,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2008-07-02,515.0,540.0,515.0,515.0,413.72601318359375,161507500,BBCA.JK,392.57538,421.7595825195312,0.0,-8.033569335937443
2008-07-03,525.0,525.0,495.0,525.0,421.75958251953125,132317500,BBCA.JK,389.46057,417.7427673339844,0.0,4.016815185546875
2008-07-11,560.0,560.0,545.0,560.0,449.8768310546875,33247500,BBCA.JK,422.15063,449.8768310546875,0.0,0.0
2008-07-25,590.0,600.0,575.0,590.0,473.9775390625,80612500,BBCA.JK,451.80283,477.99417114257807,0.0,-4.016632080078068
2008-07-29,600.0,605.0,580.0,600.0,482.0107421875,66225000,BBCA.JK,464.04016,486.0277099609375,0.0,-4.0169677734375
2008-07-31,605.0,625.0,600.0,605.0,486.0277099609375,104527500,BBCA.JK,475.56723,469.96069335937494,0.0,16.067016601562557
2008-08-01,585.0,605.0,585.0,585.0,469.960693359375,49625000,BBCA.JK,457.5183,482.0107421875,0.0,-12.050048828125
2008-08-07,605.0,620.0,600.0,605.0,486.0277099609375,94050000,BBCA.JK,477.44897,473.97753906249994,0.0,12.050170898437557
2008-08-19,595.0,620.0,595.0,595.0,477.9941711425781,71922500,BBCA.JK,475.8671,477.99417114257807,0.0,5.684341886080802e-14
2008-08-20,595.0,605.0,595.0,595.0,477.9941711425781,51162500,BBCA.JK,472.19754,473.97753906249994,0.0,4.016632080078182
2008-09-01,640.0,660.0,640.0,650.0,522.178466796875,150390000,BBCA.JK,503.65442,542.2623291015625,0.0,-20.0838623046875
2008-09-03,660.0,675.0,660.0,660.0,530.2119140625,133635000,BBCA.JK,510.9213,522.178466796875,0.0,8.033447265625
2008-09-15,530.0,545.0,525.0,530.0,425.77630615234375,209690000,BBCA.JK,443.53754,445.86010742187494,20.083801269531193,0.0
2008-09-16,505.0,565.0,500.0,555.0,445.860107421875,124852500,BBCA.JK,459.40063,453.8934326171875,8.0333251953125,0.0
2008-09-17,565.0,575.0,560.0,565.0,453.8934326171875,63472500,BBCA.JK,473.19092,490.0444641113281,36.151031494140625,0.0
2008-09-18,540.0,620.0,535.0,610.0,490.0444641113281,91932500,BBCA.JK,478.38168,510.128173828125,0.0,-20.083709716796875
2008-09-22,650.0,665.0,640.0,650.0,522.178466796875,157812500,BBCA.JK,495.38815,506.1114501953125,0.0,16.0670166015625
2008-09-24,605.0,650.0,605.0,640.0,514.1448974609375,34525000,BBCA.JK,487.23825,518.1616821289062,0.0,-4.01678466796875
2008-10-10,575.0,575.0,575.0,575.0,461.92706298828125,0,BBCA.JK,467.6575,465.9438781738281,4.016815185546875,0.0
